topic,term,weight
000,day,0.009787621
000,jonday,0.0046408344
000,work,0.005449255
000,river,0.003391629
000,timar,0.009308721
000,people,0.0039069084
000,mule,0.0022680731
000,assistant,0.0019169418
000,long,0.0034300936
000,office,0.0021691734
001,reema,0.0048680995
001,waiter,0.0025211815
001,boyfriend,0.0024334304
001,police,0.0024232152
001,night,0.0035903284
001,mallika,0.0021016255
001,samantha,0.0017015946
001,break,0.0024970619
001,hospital,0.002113513
001,mohit,0.0015995718
002,mayar,0.006064105
002,feel,0.007278587
002,eye,0.0063264854
002,light,0.0041083037
002,body,0.0044093993
002,walk,0.005932682
002,village,0.004073195
002,stand,0.0040246993
002,rat,0.002394829
002,fall,0.0027422819
003,it’s,0.010480851
003,don’t,0.011925192
003,i’m,0.007187018
003,feel,0.008162325
003,you’re,0.0046851956
003,can’t,0.0039367885
003,call,0.0054184105
003,that’s,0.0038726965
003,people,0.0046862946
003,i’ll,0.002761494
004,police,0.005845902
004,mallika,0.0057627065
004,ramesh,0.004597793
004,glass,0.004154158
004,house,0.006066451
004,call,0.0055631828
004,geeta,0.0035775383
004,night,0.00512603
004,day,0.008750342
004,break,0.0039664167
005,woman,0.012108289
005,earth,0.0072557945
005,story,0.0070248726
005,wall,0.004255135
005,work,0.005596516
005,singe,0.0032944388
005,krishna,0.0030079863
005,light,0.0034209294
005,husband,0.0033750513
005,eye,0.005299634
006,father,0.020967947
006,rory,0.0063998173
006,mother,0.012694
006,year,0.006680084
006,parent,0.006773556
006,house,0.0061022425
006,love,0.0061574117
006,mayar,0.004233087
006,timar,0.0097205965
006,room,0.004822132
007,village,0.012560377
007,usman,0.0074890205
007,ikka,0.006930094
007,river,0.00407653
007,field,0.0040682806
007,happy,0.005460741
007,jonday,0.0037725042
007,trunk,0.0037771584
007,people,0.004765627
007,big,0.0037624147
008,girl,0.015106438
008,daughter,0.011825524
008,niti,0.01030948
008,family,0.010141982
008,love,0.010553088
008,child,0.014486111
008,parent,0.009939521
008,jaidev,0.0070964745
008,marry,0.006483489
008,father,0.008323549
009,child,0.045157112
009,dolphin,0.032710496
009,meenakshi,0.023345018
009,mani,0.019551836
009,aravind,0.017653786
009,back,0.019907583
009,spit,0.01092652
009,animal,0.010793684
009,sister,0.011201424
009,hand,0.0119001325
010,tyrex,0.04651045
010,school,0.033343542
010,mother,0.034267683
010,placer,0.027657155
010,sameeha,0.019801417
010,child,0.024416322
010,penguin,0.015333604
010,liza,0.013058832
010,rainbow,0.013041599
010,garden,0.011317102
011,bathroom,0.05140296
011,blue,0.025482055
011,kiss,0.020381736
011,wear,0.017639164
011,leave,0.018697483
011,lip,0.0140236765
011,blasphemy,0.0134858275
011,inside,0.0138251
011,balcony,0.012606236
011,write,0.013408979
012,hope,0.064390235
012,boat,0.053822704
012,think,0.038618818
012,mother,0.029560959
012,anki's,0.02178054
012,anki,0.02178054
012,community,0.020577254
012,maker,0.015696317
012,heart,0.015126053
012,understand,0.014483148
013,ivaan,0.08579535
013,professor,0.041290887
013,dar,0.039089672
013,mom,0.038907804
013,start,0.020981789
013,think,0.022834674
013,make,0.019442553
013,reply,0.013507742
013,bikku,0.01060882
013,walk,0.012407892
014,vihar,0.07905651
014,neha,0.07040801
014,mother,0.03606382
014,baby,0.027135387
014,doctor,0.024039268
014,ask,0.025420653
014,baba,0.021180812
014,don’t,0.021153878
014,happen,0.018516295
014,mom,0.018936243
